!version: $Revision: 1.1.1.1 $
!date: $Date: 2001/07/27 16:54:52 $
!Mapping of GO function_ontology "enzymes" to Enzyme Commission Numbers.
!Michael Ashburner, Cambridge.
!Uses:ENZYME v26.0, May 2000.
!
EC:1.1.1.1 > GO:alcohol dehydrogenase ; GO:0004022
EC:3.5.3.1 > GO:arginase ; GO:0004053
EC:3.5.3.15 > GO:protein-arginine deiminase ; GO:0004668
EC:3.5.3.19 > GO:ureidoglycolate hydrolase ; GO:0004848
EC:3.5.3.4 > GO:allantoicase ; GO:0004037
EC:3.5.4.1 > GO:cytosine deaminase ; GO:0004131
EC:3.5.4.10 > GO:IMP cyclohydyrolase ; GO:0003937
EC:3.5.4.12 > GO:dCMP deaminase ; GO:0004132
EC:3.5.4.16 > GO:GTP cyclohydrolase I ; GO:0003934
EC:3.5.4.19 > GO:phosphoribosyl-AMP cyclohydrolase ; GO:0004635
EC:3.5.4.2 > GO:adenine deaminase ; GO:0000034
EC:3.5.4.25 > GO:GTP cyclohydrolase II ; GO:0003935
EC:3.5.4.4 > GO:adenosine deaminase ; GO:0004000
EC:3.5.4.5 > GO:cytidine deaminase ; GO:0004126
EC:3.5.4.6 > GO:AMP deaminase ; GO:0003876
EC:3.5.4.9 > GO:methenyltetrahydrofolate cyclohydrolase ; GO:0004477
EC:3.6.1.1 > GO:inorganic diphosphatase ; GO:0004427
EC:3.6.1.11 > GO:exopolyphosphatase ; GO:0004309
EC:3.6.1.17 > GO:bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) ; GO:0004081
EC:3.6.1.22 > GO:NAD+ pyrophosphatase ; GO:0000210
EC:3.6.1.23 > GO:dUTP pyrophosphatase ; GO:0004170
EC:3.6.1.3 > GO:ATP dependent DNA helicase ; GO:0004003
EC:3.6.1.3 > GO:ATP dependent helicase ; GO:0008026
EC:3.6.1.3 > GO:DNA dependent adenosinetriphosphatase ; GO:0008094
EC:3.6.1.3 > GO:RNA dependent adenosinetriphosphatase ; GO:0008186
EC:3.6.1.3 > GO:adenosinetriphosphatase ; GO:0004002
EC:3.6.1.31 > GO:phosphoribosyl-ATP pyrophosphatase ; GO:0004636
EC:3.6.1.42 > GO:guanosine-diphosphatase ; GO:0004382
EC:3.6.1.46 > GO:heterotrimeric G-protein GTPase ; GO:0003927
EC:3.6.1.47 > GO:ARF small monomeric GTPase ; GO:0003926
EC:3.6.1.47 > GO:RAB small monomeric GTPase ; GO:0003928
EC:3.6.1.47 > GO:RAN small monomeric GTPase ; GO:0003929
EC:3.6.1.47 > GO:RAS small monomeric GTPase ; GO:0003930
EC:3.6.1.47 > GO:RHEB small monomeric GTPase ; GO:0008619
EC:3.6.1.47 > GO:RHO small monomeric GTPase ; GO:0003931
EC:3.6.1.47 > GO:SAR small monomeric GTPase ; GO:0003932
EC:3.6.1.47 > GO:small monomeric GTPase ; GO:0003925
EC:3.6.1.48 > GO:protein-synthesizing GTPase ; GO:0008547
EC:3.6.1.49 > GO:signal-recognition-particle GTPase ; GO:0008548
EC:3.6.1.5 > GO:apyrase ; GO:0004050
EC:3.6.1.50 > GO:dynamin GTPase ; GO:0008549
EC:3.6.1.51 > GO:tubulin GTPase ; GO:0008550
EC:3.6.1.7 > GO:acylphosphatase ; GO:0003998
EC:3.6.1.9 > GO:nucleotide pyrophosphatase ; GO:0004551
EC:3.6.3.- > GO:ATP-binding cassette (ABC) transporter ; GO:0004009
EC:3.6.3.1 > GO:magnesium-ATPase ; GO:0004012
EC:3.6.3.10 > GO:hydrogen/potassium-exchanging ATPase ; GO:0005390
EC:3.6.3.11 > GO:chloride-transporting ATPase ; GO:0008555
EC:3.6.3.12 > GO:potassium-transporting ATPase ; GO:0008556
EC:3.6.3.13 > GO:aminophospholipid-transporting ATPase ; GO:0008557
EC:3.6.3.14 > GO:hydrogen-transporting two-sector ATPase ; GO:0003936
EC:3.6.3.14 > GO:hydrogen-transporting two-sector ATPase ; GO:0003936 ; GO:0004006
EC:3.6.3.37 > GO:guanine-transporting ATPase ; GO:0008558
EC:3.6.3.44 > GO:xenobiotic-transporting ATPase ; GO:0008559
EC:3.6.3.45 > GO:steroid-transporting ATPase ; GO:0008560
EC:3.6.3.47 > GO:fatty-acyl-CoA-transporting ATPase ; GO:0008562
EC:3.6.3.48 > GO:a-factor-transporting ATPase ; GO:0008563
EC:3.6.3.49 > GO:channel-conductance-controlling ATPase ; GO:0005260
EC:3.6.3.50 > GO:protein-secreting ATPase ; GO:0008564
EC:3.6.3.51 > GO:mitochondrial protein-transporting ATPase ; GO:0008566
EC:3.6.3.6 > GO:hydrogen-exporting ATPase ; GO:0008553
EC:3.6.3.7 > GO:sodium-exporting ATPase ; GO:0008554
EC:3.6.3.8 > GO:calcium-transporting ATPase ; GO:0005388 ; EC 3.6.3.8
EC:3.6.3.9 > GO:sodium/potassium-exchanging ATPase ; GO:0005391
EC:3.6.4.1 > GO:myosin ATPase ; GO:0008570
EC:3.6.4.10 > GO:non-chaperonin molecular chaperone ATPase ; GO:0008571
EC:3.6.4.11 > GO:nucleoplasmin ATPase ; GO:0008572
EC:3.6.4.2 > GO:dynein ATPase ; GO:0008567
EC:3.6.4.3 > GO:microtubule-severing ATPase ; GO:0008568
EC:3.6.4.4 > GO:plus-end-directed kinesin ATPase ; GO:0008574
EC:3.6.4.5 > GO:minus-end-directed kinesin ATPase ; GO:0008569
EC:3.6.4.6 > GO:vesicle-fusing ATPase ; GO:0008576
EC:3.6.4.7 > GO:peroxisome-assembly ATPase ; GO:0008573
EC:3.6.4.8 > GO:proteasome ATPase ; GO:0008575
EC:3.6.4.9 > GO:chaperonin ATPase ; GO:0003763, GO:0003764, GO:0003765, GO:0003766
EC:3.7.1.2 > GO:fumarylacetoacetase ; GO:0004334
EC:3.8.1.4 > GO:thyroxine deiodinase ; GO:0004800
EC:4.1.1.1 > GO:pyruvate decarboxylase ; GO:0004737
EC:4.1.1.11 > GO:aspartate 1-decarboxylase ; GO:0004068
EC:4.1.1.15 > GO:glutamate decarboxylase ; GO:0004351
EC:4.1.1.17 > GO:ornithine decarboxylase ; GO:0004586
EC:4.1.1.21 > GO:phosphoribosylaminoimidazole carboxylase ; GO:0004638
EC:4.1.1.22 > GO:histidine decarboxylase ; GO:0004398
EC:4.1.1.23 > GO:orotidine-5'-phosphate decarboxylase ; GO:0004590
EC:4.1.1.25 > GO:tyrosine decarboxylase ; GO:0004837
EC:4.1.1.28 > GO:aromatic-L-amino-acid decarboxylase ; GO:0004058
EC:4.1.1.29 > GO:sulfinoalanine decarboxylase ; GO:0004782
EC:4.1.1.32 > GO:phosphoenolpyruvate carboxylase (GTP) ; GO:0004613
EC:4.1.1.33 > GO:diphosphomevalonate decarboxylase ; GO:0004163
EC:4.1.1.36 > GO:phosphopantothenoylcysteine decarboxylase ; GO:0004633
EC:4.1.1.37 > GO:uroporphyrinogen decarboxylase ; GO:0004853
EC:4.1.1.41 > GO:methylmalonyl-CoA decarboxylase ; GO:0004492
EC:4.1.1.48 > GO:indole-3-glycerol-phosphate synthase ; GO:0004425
EC:4.1.1.49 > GO:phosphoenolpyruvate carboxykinase (ATP) ; GO:0004612
EC:4.1.1.50 > GO:adenosylmethionine decarboxylase ; GO:0004014
EC:4.1.1.65 > GO:phosphatidylserine decarboxylase ; GO:0004609
EC:4.1.2.13 > GO:fructose-bisphosphate aldolase ; GO:0004332
EC:4.1.2.15 > GO:2-dehydro-3-deoxyphosphoheptonate aldolase ; GO:0003849
EC:4.1.2.25 > GO:dihydroneopterin aldolase ; GO:0004150
EC:4.1.2.27 > GO:sphinganine-1-phosphate aldolase ; GO:0008117
EC:4.1.2.4 > GO:deoxyribose-phosphate aldolase ; GO:0004139
EC:4.1.2.5 > GO:threonine aldolase ; GO:0004793
EC:4.1.3.1 > GO:isocitrate lyase ; GO:0004451
EC:4.1.3.12 > GO:2-isopropylmalate synthase ; GO:0003852
EC:4.1.3.18 > GO:acetolactate synthase ; GO:0003984
EC:4.1.3.2 > GO:malate synthase ; GO:0004474
EC:4.1.3.21 > GO:homocitrate synthase ; GO:0004410
EC:4.1.3.27 > GO:anthranilate synthase ; GO:0004049
EC:4.1.3.4 > GO:hydroxymethylglutaryl-CoA lyase ; GO:0004419
EC:4.1.3.5 > GO:hydroxymethylglutaryl-CoA synthase ; GO:0004421
EC:4.1.3.7 > GO:citrate (SI)-synthase ; GO:0004108
EC:4.1.3.8 > GO:ATP-citrate (pro-S)-lyase ; GO:0003878
EC:4.1.99.3 > GO:deoxyribodipyrimidine photolyase ; GO:0003904
EC:4.2.1.1 > GO:carbonate dehydratase ; GO:0004089
EC:4.2.1.10 > GO:3-dehydroquinate dehydratase ; GO:0003855
EC:4.2.1.11 > GO:phosphopyruvate hydratase ; GO:0004634
EC:4.2.1.12 > GO:ketopantoaldase ; GO:0004456
EC:4.2.1.13 > GO:L-serine dehydratase ; GO:0003941
EC:4.2.1.16 > GO:threonine dehydratase ; GO:0004794
EC:4.2.1.17 > GO:enoyl-CoA hydratase ; GO:0004300
EC:4.2.1.18 > GO:methylglutaconyl-CoA hydratase ; GO:0004490
EC:4.2.1.19 > GO:imidazoleglycerol-phosphate dehydratase ; GO:0004424
EC:4.2.1.2 > GO:fumarate hydratase ; GO:0004333
EC:4.2.1.20 > GO:tryptophan synthase ; GO:0004834
EC:4.2.1.22 > GO:cystathione beta-synthase ; GO:0004122
EC:4.2.1.24 > GO:porphobilinogen synthase ; GO:0004655
EC:4.2.1.3 > GO:aconitate hydratase ; GO:0003994
EC:4.2.1.33 > GO:3-isopropylmalate dehydratase ; GO:0003861
EC:4.2.1.36 > GO:homoaconitate hydratase ; GO:0004409
EC:4.2.1.46 > GO:dTDP-glucose 4,6-dehydratase ; GO:0008460
EC:4.2.1.47 > GO:GDP-mannose 4,6-dehydratase ; GO:0008446
EC:4.2.1.51 > GO:prephenate dehydratase ; GO:0004664
EC:4.2.1.55 > GO:3-hydroxybutyryl-CoA dehydratase ; GO:0003859
EC:4.2.1.61 > GO:3-hydroxypalmitoyl-[acyl-carrier protein] dehydratase ; GO:0004317
EC:4.2.1.70 > GO:pseudouridylate synthase ; GO:0004730
EC:4.2.1.75 > GO:uroporphyringonen-III synthase ; GO:0004852
EC:4.2.1.9 > GO:dihyroxy-acid dehydratase ; GO:0004160
EC:4.2.1.96 > GO:4a-hydroxytetrahydrobiopterin dehydratase ; GO:0008124
EC:4.2.99.10 > GO:O-acetylhomoserine (thiol)-lyase ; GO:0003961
EC:4.2.99.18 > GO:DNA-(apurinic or apyrimidinic site) lyase ; GO:0003906
EC:4.2.99.2 > GO:threonine synthase ; GO:0004795
EC:4.2.99.8 > GO:cysteine synthase ; GO:0004124
EC:4.2.99.9 > GO:O-succinylhomoserine (thiol)-lyase ; GO:0003962
EC:4.3.1.12 > GO:ornithine cyclodeaminase ; GO:0008473
EC:4.3.1.3 > GO:histidine ammonia-lyase ; GO:0004397
EC:4.3.1.8 > GO:hydroxymethylbilane synthase ; GO:0004418
EC:4.3.2.1 > GO:argininosuccinate lyase ; GO:0004056
EC:4.3.2.2 > GO:adenylosuccinate lyase ; GO:0004018
EC:4.3.2.5 > GO:peptidylamidoglycolate lyase ; GO:0004598
EC:4.4.1.1 > GO:cystathionine-gamma-lyase ; GO:0004123
EC:4.4.1.17 > GO:holocytochrome c synthase ; GO:0004408
EC:4.4.1.5 > GO:lactoylglutathione lyase ; GO:0004462
EC:4.4.1.8 > GO:cystathionine beta-lyase ; GO:0004121
EC:4.6.1.1 > GO:adenylate cyclase ; GO:0004016
EC:4.6.1.1 > GO:calcium/calmodulin-responsive adenylate cyclase ; GO:0008294
EC:4.6.1.10 > GO:6-pyruvoyl tetrahydropterin synthase ; GO:0003874
EC:4.6.1.2 > GO:guanylate cyclase ; GO:0004383
EC:4.6.1.2 > GO:receptor guanylate cyclase ; GO:0008075
EC:4.6.1.3 > GO:3-dehydroquinate synthase ; GO:0003856
EC:4.6.1.4 > GO:chorismate synthase ; GO:0004107
EC:4.99.1.1 > GO:ferrochelatase ; GO:0004325
EC:5.1.3.1 > GO:ribulose-phosphate 3-epimerase ; GO:0004750
EC:5.1.3.2 > GO:UDP-glucose 4-epimerase ; GO:0003978
EC:5.1.3.3 > GO:aldose 1-epimerase ; GO:0004034
EC:5.1.3.7 > GO:UDP-N-acetylglucosamine 4-epimerase ; GO:0003974
EC:5.1.99.1 > GO:methylmalonyl-CoA epimerase ; GO:0004493
EC:5.1.99.4 > GO:alpha-methylacyl-CoA racemase ; GO:0008111
EC:5.2.1.3 > GO:retinal isomerase ; GO:0004744
EC:5.2.1.8 > GO:cyclophilin ; GO:0004600
EC:5.2.1.8 > GO:peptidylprolyl isomerase ; GO:0003755
EC:5.3.1.1 > GO:triosephosphate isomerase ; GO:0004807
EC:5.3.1.10 > GO:glucosamine-6-phosphate isomerase ; GO:0004342
EC:5.3.1.16 > GO:N-(5'-phospho-D-ribosylformimino)-5-amino-1-(5''-phosphoribosyl)-4-imidazole carboxamide isomerase ; GO:0003949
EC:5.3.1.21 > GO:corticosteroid side-chain-isomerase ; GO:0004110
EC:5.3.1.24 > GO:phosphoribosylanthranilate isomerase ; GO:0004640
EC:5.3.1.6 > GO:ribose-5-phosphate isomerase ; GO:0004751
EC:5.3.1.8 > GO:mannose-6-phosphate isomerase ; GO:0004476
EC:5.3.1.9 > GO:glucose-6-phosphate isomerase ; GO:0004347
EC:5.3.3.1 > GO:steroid delta-isomerase ; GO:0004769
EC:5.3.3.12 > GO:dopachrome delta-isomerase ; GO:0004167
EC:5.3.3.2 > GO:isopentenyl-diphosphate delta-isomerase ; GO:0004452
EC:5.3.3.8 > GO:delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase ; GO:0008461
EC:5.3.3.8 > GO:dodecenoyl-CoA delta-isomerase ; GO:0004165
EC:5.3.4.1 > GO:protein disulfide isomerase ; GO:0003756
EC:5.3.99.2 > GO:prostaglandin-D synthase ; GO:0004667
EC:5.3.99.4 > GO:prostaglandin-I synthase ; GO:0008116
EC:5.3.99.5 > GO:thromboxane-A synthase ; GO:0004796 ; GO:0008400
EC:5.4.2.1 > GO:phosphoglycerate mutase ; GO:0004619
EC:5.4.2.2 > GO:phosphoglucomutase ; GO:0004614
EC:5.4.2.3 > GO:phosphoacetylglucosamine mutase ; GO:0004610
EC:5.4.2.4 > GO:bisphosphoglycerate mutase ; GO:0004082
EC:5.4.2.8 > GO:phosphomannomutase ; GO:0004615
EC:5.4.99.2 > GO:methylmalonyl-CoA mutase ; GO:0004494
EC:5.4.99.5 > GO:chorismate mutase ; GO:0004106
EC:5.4.99.7 > GO:lanosterol synthase ; GO:0000250
EC:5.5.1.4 > GO:myo-inositol-1-phosphate synthase ; GO:0004512
EC:5.99.1.2 > GO:DNA topoisomerase I ; GO:0003917
EC:5.99.1.3 > GO:DNA topoisomerase (ATP-hydrolysing) ; GO:0003918
EC:6.1.1.1 > GO:tyrosine--tRNA ligase ; GO:0004831
EC:6.1.1.10 > GO:methionine--tRNA ligase ; GO:0004825
EC:6.1.1.11 > GO:serine--tRNA ligase ; GO:0004828
EC:6.1.1.12 > GO:aspartate--tRNA ligase ; GO:0004815
EC:6.1.1.14 > GO:glycine--tRNA ligase ; GO:0004820
EC:6.1.1.15 > GO:proline--tRNA ligase ; GO:0004827
EC:6.1.1.16 > GO:cysteine--tRNA ligase ; GO:0004817
EC:6.1.1.17 > GO:glutamate--tRNA ligase ; GO:0004818
EC:6.1.1.18 > GO:glutamine--tRNA ligase ; GO:0004819
EC:6.1.1.19 > GO:arginine--tRNA ligase ; GO:0004814
EC:6.1.1.2 > GO:tryptophan--tRNA ligase ; GO:0004830
EC:6.1.1.20 > GO:phenylalanine--tRNA ligase ; GO:0004826
EC:6.1.1.21 > GO:histidine--tRNA ligase ; GO:0004821
EC:6.1.1.22 > GO:asparagine--tRNA ligase ; GO:0004816
EC:6.1.1.3 > GO:threonine--tRNA ligase ; GO:0004829
EC:6.1.1.4 > GO:leucine--tRNA ligase ; GO:0004823
EC:6.1.1.5 > GO:isoleucine--tRNA ligase ; GO:0004822
EC:6.1.1.6 > GO:lysine--tRNA ligase ; GO:0004824
EC:6.1.1.7 > GO:alanine--tRNA ligase ; GO:0004813
EC:6.1.1.9 > GO:valine--tRNA ligase ; GO:0004832
EC:6.2.1.- > GO:acyl-CoA ligase ; GO:0003996
EC:6.2.1.1 > GO:acetate--CoA ligase ; GO:0003987
EC:6.2.1.3 > GO:long-chain-fatty-acid-CoA-ligase ; GO:0004467
EC:6.2.1.4 > GO:succinate--CoA ligase (GDP-forming) ; GO:0004776
EC:6.2.1.5 > GO:succinate--CoA ligase (ADP-forming) ; GO:0004775
EC:6.3.1.1 > GO:aspartate--ammonia ligase ; GO:0004071
EC:6.3.1.2 > GO:glutamate--ammonia ligase ; GO:0004356
EC:6.3.2.1 > GO:pantoate-beta-alanine ligase ; GO:0004592
EC:6.3.2.17 > GO:folylpolyglutamate synthase ; GO:0004326
EC:6.3.2.19 > GO:ubiquitin--protein ligase ; GO:0004842
EC:6.3.2.2 > GO:glutamate--cysteine ligase ; GO:0004357
EC:6.3.2.25 > GO:tubulin--tyrosine ligase ; GO:0004835
EC:6.3.2.3 > GO:glutathione synthase ; GO:0004363
EC:6.3.2.5 > GO:phosphopantothenate-cysteine ligase ; GO:0004632
EC:6.3.2.6 > GO:phosphoribosylaminoimidazole-succinocarboxamide synthase ; GO:0004639
EC:6.3.3.1 > GO:phosphoribosylformylglycinamide cyclo-ligase ; GO:0004641
EC:6.3.3.3 > GO:dethiobiotin synthase ; GO:0004141
EC:6.3.4.1 > GO:GMP synthase ; GO:0003921
EC:6.3.4.10 > GO:biotin--[propionyl-CoA-carboxylase (ATP-hydrolysing)] ligase ; GO:0004080
EC:6.3.4.11 > GO:biotin--[methylcrotonoyl-CoA-carboxylase] ligase ; GO:0004078
EC:6.3.4.13 > GO:phosphoribosylamine--glycine ligase ; GO:0004637
EC:6.3.4.14 > GO:biotin carboxylase ; GO:0004075
EC:6.3.4.15 > GO:biotin--[acetyl-CoA-carboxylase] ligase ; GO:0004077
EC:6.3.4.16 > GO:carbamoyl-phosphate synthase (ammonia) ; GO:0004087
EC:6.3.4.2 > GO:CTP synthase ; GO:0003883
EC:6.3.4.3 > GO:formate--tetrahydrofolate ligase ; GO:0004329
EC:6.3.4.4 > GO:adenylosuccinate synthase ; GO:0004019
EC:6.3.4.5 > GO:argininosuccinate synthase ; GO:0004055
EC:6.3.4.6 > GO:urea carboxylase ; GO:0004847
EC:6.3.4.9 > GO:biotin--[methylmalonyl-CoA-carboxyltransferase] ligase ; GO:0004079
EC:6.3.5.1 > GO:NAD(+) synthase (glutamine-hydrolysing) ; GO:0003952
EC:6.3.5.2 > GO:GMP synthase (glutamine hydrolysing) ; GO:0003922
EC:6.3.5.3 > GO:phosphoribosylformylglycinamidine synthase ; GO:0004642
EC:6.3.5.4 > GO:asparagine synthase (glutamine-hydrolysing) ; GO:0004066
EC:6.3.5.5 > GO:carbamoyl-phosphate synthase (glutamine-hydrolysing) ; GO:0004088
EC:6.4.1.1 > GO:pyruvate carboxylase ; GO:0004736
EC:6.4.1.2 > GO:acetyl-CoA carboxylase ; GO:0003989
EC:6.4.1.3 > GO:propionyl-CoA carboxylase ; GO:0004658
EC:6.4.1.4 > GO:methylcrotonyl-CoA carboxylase ; GO:0004485
EC:6.5.1.1 > GO:DNA ligase (ATP) ; GO:0003910
EC:6.5.1.2 > GO:DNA ligase (NAD+) ; GO:0003911
EC:6.5.1.3 > GO:RNA ligase (ATP) ; GO:0003972
EC:6.5.1.4 > GO:RNA-3'-phosphate cyclase ; GO:0003963
$
